ISIN,AR_4,Coef_4,AR_6,Coef_6,AR_8,Coef_8,AR_10,Coef_10,AR_12,Coef_12,AR_14,Coef_14,AR_16,Coef_16,AR_18,Coef_18,AR_20,Coef_20
GB00B24CGK77,0.3269909634044171,0.2866389260421919,0.12394553021036975,0.13073494737050306,1.102086144438226,0.638712227486327,1.3924698197465377,0.7672617517622302,-3.232444490591598,0.03541146782763227,-4.0333298511978555,0.002610449855885766,-4.040993721102773,0.002542735159111187,-4.044886386907676,0.0034908933762548555,-3.9517269867219444,7.546526181734237e-09
GB0007370074,-29.72630679129262,0.4441183405753977,-11.76700146712652,0.0551257872570553,-14.527660885773392,0.240437246996825,-18.87620297338744,0.45201201453070494,-13.947086519709991,0.14324240019848256,-12.298345542597811,0.1082999250263793,-8.039028788800856,0.04512238861713924,-4.730946939110961,0.014603905346412649,-1.1416037996828363,0.00027834817735927775
GB00BVFNZH21,0.5690004407573427,0.6224380676649612,0.7924146471123211,0.28787708257410705,1.6650970095452573,0.00012687929245125407,1.067511281539772,0.0384137604152045,0.8270265992099158,0.08282093041119254,-1.010485657934273,0.39894683038388323,-1.4538093234691214,0.6195718677378639,-0.568056203586601,0.641066108968381,-0.5184446884530575,0.6995932422253077
GB0007594764,-5.753828522008367,0.052755252427295285,-6.00934262426288,0.07869673150720069,-5.72873568083621,0.0010754842869878933,-5.851522440335183,0.036955110293965254,-6.046218575904582,0.03219209618139962,-6.70100920055634,0.06607763198107863,-7.37175590152368,0.05651758905298143,-8.92870739353315,0.20680802091187955,-9.732152646941595,0.2311353482307592
GB0007281198,5.2084354454717126,0.26165951713748914,6.686759625816229,0.003727261257162051,8.189568955956835,0.06315655000430753,7.81058189865144,0.02938166240073481,6.2534944263789916,3.1821744683746545e-08,5.367338840190854,0.014876961308738834,5.740373480146689,1.1696161940633054e-05,6.2612788619916735,0.00693313280642216,6.523390971834663,0.016500774693243736
GB0002405495,cours non disponible,ERR,cours non disponible,ERR,cours non disponible,ERR,cours non disponible,ERR,cours non disponible,ERR,cours non disponible,ERR,cours non disponible,ERR,cours non disponible,ERR,cours non disponible,ERR
GB00B5ZN1N88,-2.754341761872913,0.39724045944958664,-2.097841716224288,0.36993507909622236,-2.7567134096673453,0.6943074873606712,-3.6185411617425682,0.49613355283953187,-4.9875194173791675,0.3106683613061887,-5.086470706800268,0.4015273289469877,-4.788577660710934,0.3900304701955384,-4.585041527230717,0.35836672807378656,-4.518351077271246,0.24092694125905045
GB0002919784,cours non disponible,ERR,cours non disponible,ERR,cours non disponible,ERR,cours non disponible,ERR,cours non disponible,ERR,cours non disponible,ERR,cours non disponible,ERR,cours non disponible,ERR,cours non disponible,ERR
GB0007958233,13.630422702991648,0.13738487192513116,7.448084649727922,0.08777581770494292,11.600538712717649,0.04690189290811042,5.213904359033034,0.27093769531446654,3.866682279657997,0.03554140033853381,1.4684231679954127,0.03230921788035779,-0.005102978421064885,0.05313500045354458,-1.3746506213014542,0.044174620252722896,-3.48061589709346,0.09104769659907808
GB00B1FH8J72,-2.532558818894527,0.2437836610477756,-3.5643700058001113,0.13200269653035968,-3.360172087492423,0.04166321991951216,-3.086359239138607,0.023603301163798607,-2.693461808608222,0.002583111010217687,-2.550553570189706,0.00020800024350697832,-2.467173713905323,0.004211106874024595,-2.3873386656575404,0.09343264456501066,-2.3043948673565984,0.2423028398996423
GB0007990962,4.5204480998048275,0.0004339186296339337,5.112274039057313,0.052617045845311905,5.1166875604705515,0.0791385530703751,5.710682539448821,0.20036955440020565,5.9190581609262995,0.24892406022928537,5.986698487921693,0.30002116474873675,7.3588749157080455,0.054646972643492164,8.354398086318463,0.003114986791109553,8.51941568617938,0.000390035898634844
GB0001411924,pas de données sur la période voulue,ERR,pas de données sur la période voulue,ERR,pas de données sur la période voulue,ERR,pas de données sur la période voulue,ERR,pas de données sur la période voulue,ERR,pas de données sur la période voulue,ERR,pas de données sur la période voulue,ERR,pas de données sur la période voulue,ERR,pas de données sur la période voulue,ERR
GB00BYZDVK82,10.54595197674731,0.9480485514041918,10.726999173074235,0.2949906072291242,4.216936167760879,0.052659690900659806,-0.6126110401457565,0.0009354816060705984,-4.362183346899501,0.01517436120565585,-5.985954047340443,0.06714690546060231,-4.27617242358395,0.03445880311352012,-3.7434381277229964,0.026847167745926104,-2.573295481204169,0.0009423184445414012
GB0003308607,-4.742800861102017,0.022553364765302897,-5.613886049812574,0.012624097902327769,-5.8164059506622,0.006525536611595717,-5.709941648668125,0.02594392286459013,-5.465077290569289,0.01951486686081627,-5.5514713820382,0.015602027093948756,-5.609769299700587,0.016209974220373957,-5.860516739483678,0.002660774675962929,-5.903034000493086,0.0003133883778938529
GB0007908733,-2.7686787160835835,0.763698457138414,-2.3100247539376237,0.5312788632195788,-2.3488973028314017,0.5330121327758732,-2.0777136416901283,0.5557991129562663,-2.0887878100409276,0.6869457601912781,-1.7989234929416578,0.6166229873310405,-1.3088053351645386,0.43103645699496496,-1.2719503263423224,0.4275802500457262,-1.126945461921928,0.3671438605029531
GB00B0KM9T71,-7.328049317642623,0.31189441770728044,-7.369222365603016,0.24627008125932925,-6.5609250871309355,0.5314991399479614,-6.200900559760932,0.638595714777058,-7.004910798671507,0.45844997824200784,-7.553153564941935,0.16406073702400636,-7.77936930175078,0.04719657610913608,-7.8639417023813625,0.022711415024772807,-7.815727369298579,0.04312221855575393
GB0008754136,cours non disponible,ERR,cours non disponible,ERR,cours non disponible,ERR,cours non disponible,ERR,cours non disponible,ERR,cours non disponible,ERR,cours non disponible,ERR,cours non disponible,ERR,cours non disponible,ERR
GB0008782301,0.437208345463928,0.07188142246946327,0.34954618452282027,0.08983699563674463,0.3693014485801511,0.056767144846839646,0.48677983416836074,0.07605168770675308,0.9401590320972795,0.1154800375299867,1.071527101424136,0.5227641297466132,1.2450552479691561,0.6198671200779589,1.2930930599498638,0.792105385180954,1.5505244302972077,0.7471692427043196
GB0001048619,pas de données sur la période voulue,ERR,pas de données sur la période voulue,ERR,pas de données sur la période voulue,ERR,pas de données sur la période voulue,ERR,pas de données sur la période voulue,ERR,pas de données sur la période voulue,ERR,pas de données sur la période voulue,ERR,pas de données sur la période voulue,ERR,pas de données sur la période voulue,ERR
