ISIN;Date 
;02/06/2022
;02/06/2022
;27/08/2020
;27/08/2020
;07/07/2022
;16/12/2021
;22/09/2022
JP3116000005;24/03/2022
JP3116000005;24/03/2022
;26/05/2022
;26/05/2022
;13/10/2022
;16/06/2022
TW0002311008;16/09/2021
TW0002311008;16/09/2021
TW0001102002;22/04/2021
;20/10/2022
JP3118000003;15/04/2021
JP3118000003;15/04/2021
;29/09/2022
JP3119920001;01/09/2018
JP3119920001;01/09/2018
JP3119920001;01/09/2018
JP3119920001;01/09/2018
;28/10/2021
NL0010273215;16/12/2021
NL0010273215;16/12/2021
GB0030927254;21/10/2021
GB0030927254;21/10/2021
GB0030927254;21/10/2021
GB0030927254;21/10/2021
SE0007100581;08/12/2022
SE0007100581;08/12/2022
JP3942400007;02/11/2018
JP3942400007;02/11/2018
IT0000084027;21/10/2021
IT0000084027;21/10/2021
;11/01/2021
;04/11/2021
;04/11/2021
GB0009895292;01/10/2021
GB0009895292;01/10/2021
GB0009895292;01/10/2021
GB0009895292;01/10/2021
GB0009895292;01/10/2021
GB0009895292;01/10/2021
GB0009895292;01/10/2021
GB0009895292;01/10/2021
GB0009895292;01/10/2021
;07/07/2022
;07/07/2022
US00206R1023;20/05/2021
US00206R1023;20/05/2021
NO0004822503;04/09/2019
NO0004822503;04/09/2019
;15/09/2022
GB00BLP5YB54;04/11/2021
SE0000101032;28/10/2021
SE0000101032;28/10/2021
GB00BZ09BD16;10/12/2020
GB00BZ09BD16;10/12/2020
GB00BZ09BD16;10/12/2020
GB00BZ09BD16;10/12/2020
FR0000051732;18/02/2021
;15/09/2022
NZAIAE0002S6;20/11/2017
;08/12/2022
;08/12/2022
;08/12/2022
TW0002409000;05/08/2021
DE0006766504;17/06/2021
DE0006766504;17/06/2021
;03/06/2021
;21/03/2019
;21/03/2019
GB00BVYVFW23;25/11/2021
GB00BVYVFW23;25/11/2021
US0527691069;04/11/2021
US0527691069;04/11/2021
US0527691069;04/11/2021
US0527691069;04/11/2021
US0528001094;10/02/2022
US0528001094;10/02/2022
;01/12/2022
;01/09/2022
;01/09/2022
;01/09/2022
;01/09/2022
US0534841012;02/07/2019
US0534841012;02/07/2019
;28/10/2021
;28/10/2021
US0536111091;21/10/2021
US0536111091;21/10/2021
GB00BBG9VN75;04/08/2022
GB00BBG9VN75;04/08/2022
GB00BBG9VN75;04/08/2022
GB00BBG9VN75;04/08/2022
GB00BBG9VN75;04/08/2022
GB00BBG9VN75;04/08/2022
;30/07/2020
;11/02/2021
;04/01/2022
;04/01/2022
;14/04/2022
;14/04/2022
;16/06/2022
JP3937200008;01/08/2021
JP3937200008;01/08/2021
LU1072616219;11/08/2022
LU1072616219;11/08/2022
;02/06/2022
;02/06/2022
BMG069051065;01/07/2018
BMG069051065;01/07/2018
;22/07/2021
;04/11/2021
;04/11/2021
US0584981064;23/04/2020
US0584981064;23/04/2020
;13/10/2022
;13/10/2022
;13/10/2022
;18/02/2021
;28/07/2022
;28/07/2022
;28/07/2022
;03/06/2021
IE00BD1RP616;12/01/2022
IE00BD1RP616;12/01/2022
IE00BD1RP616;08/12/2022
IE00BD1RP616;08/12/2022
IE00BD1RP616;08/12/2022
IE00BD1RP616;08/12/2022
IE00BD1RP616;08/12/2022
BE0003790079;31/03/2021
;30/07/2020
;30/07/2020
;03/11/2022
GB0000811801;24/09/2020
GB0000811801;24/09/2020
CH0009002962;27/11/2019
DE000BAY0017;20/08/2020
DE000BAY0017;20/08/2020
;28/07/2022
;28/07/2022
CA05534B7604;25/08/2022
CA05534B7604;25/08/2022
CA05534B7604;25/08/2022
;07/04/2022
;30/06/2022
;05/05/2022
BE0003678894;30/06/2022
;26/05/2022
DE0005200000;18/06/2020
DE0005200000;18/06/2020
FR0000121857;28/04/2022
FR0000121857;28/04/2022
;28/07/2022
;28/07/2022
GB0000904986;15/09/2022
GB0000904986;15/09/2022
GB0000904986;15/09/2022
;22/09/2022
US0814651065;14/03/2019
US0814651065;14/03/2019
JP3835620000;29/09/2022
JP3835620000;29/09/2022
JP3835620000;27/05/2021
JP3835620000;27/05/2021
JP3835620000;27/05/2021
JP3835620000;27/05/2021
;06/03/2019
;06/03/2019
;04/11/2021
;04/11/2021
;30/06/2022
;01/12/2022
US08579W1036;24/03/2022
US08579W1036;24/03/2022
;11/02/2021
DE0005224901;03/06/2021
;15/09/2022
;20/10/2022
US0865161014;01/07/2019
US0865161014;01/07/2019
;04/03/2021
;04/03/2021
SE0014186532;21/06/2021
SE0014186532;21/06/2021
;24/11/2022
INE397D01024;30/09/2021
INE397D01024;30/09/2021
;17/02/2022
;12/05/2022
;11/11/2021
;11/11/2021
SE0000862997;01/01/2018
SE0000862997;01/01/2018
SE0017769995;22/09/2022
US09062X1037;17/09/2020
US09062X1037;17/09/2020
US09062X1037;17/09/2020
FR0013280286;02/12/2021
FR0013280286;02/12/2021
;08/12/2022
;20/10/2022
XS2200172653;18/08/2022
XS2200172653;18/08/2022
;22/04/2021
;22/04/2021
DE0005261606;19/11/2020
DE0005261606;19/11/2020
;08/04/2021
;08/04/2021
;08/04/2021
GB0033147751;09/09/2021
GB0033147751;09/09/2021
;12/08/2021
;05/05/2022
DE0005190003;24/02/2022
DE0005190003;24/02/2022
DE0005190003;24/02/2022
;03/11/2022
;10/11/2022
;11/02/2021
SE0008091581;01/12/2019
SE0008091581;01/12/2019
;29/09/2022
;29/09/2022
;24/06/2021
JE00BG6L7297;16/12/2021
JE00BG6L7297;16/12/2021
JE00BG6L7297;16/12/2021
AU000000BLD2;16/12/2021
AU000000BLD2;16/12/2021
NO0010657505;11/08/2022
NO0010657505;11/08/2022
