,Date,S&P/ASX 200 ,Austrian Traded Index,BEL 20 Index,S&P/TSX 60 INDEX,S&P/CLX IGPA (CLP) Index,Colombia Price Index,OMXC 25 CAP Index,OMX Helsinki,IBEX 35 Index,Budapest SE Index,Athex,OMX Iceland,ISEQ,FTSE,TOPIX ,LuxX Index,OMX Vilnius,Oslo Stock Exchange Equity Index,S&P/Bmv Ipc, Lisbon PSI Index,Amsterdam,Swiss Market Index,OMX Stockholm,PX Prague,FTSE 100 Index,Shanghai SE 50,BIST 100 Index,SBF 120 - PRICE INDEX,DAX PERFORMANCE - PRICE INDEX,S&P 500 VALUE - PRICE INDEX
25,14/11/2013,5355.4,2607.81,2896.69,774.66,18507.67,1099.7,,7271.79,9708.7,18821.21,1143.62,809.96,4490.8,18760.78,1218.55,1403.69,414.75,496.0,40306.7,6324.35,394.87,8304.97,1289.17,1001.65,6666.13,1572.73,739.75,3318.53,9149.66,824.57
26,15/11/2013,5401.7,2616.48,2877.67,777.29,18703.04,1101.72,,7293.87,9695.9,18882.95,1133.46,807.14,4479.5,18687.19,1239.04,1409.77,414.45,500.22,41034.11,6319.76,395.34,8327.31,1295.93,1009.24,6693.44,1604.82,742.73,3323.64,9168.69,827.96
27,18/11/2013,5384.7,2632.98,2875.22,776.05,18853.39,1105.81,,7344.12,9783.1,18855.2,1141.33,810.69,4457.11,19105.46,1241.67,1404.66,412.8,501.1,,6363.67,396.98,8351.38,1304.8,1021.88,6723.46,1675.16,755.98,3342.86,9225.43,825.97
28,19/11/2013,5352.9,2621.47,2859.56,775.15,18710.81,1099.6,,7285.12,9629.8,18680.74,1145.09,813.94,4415.22,18766.78,1236.86,1404.75,412.37,499.9,40643.25,6354.24,395.48,8300.12,1299.51,1017.39,6698.01,1659.53,746.18,3308.47,9193.29,824.64
29,20/11/2013,5307.7,2607.34,2852.95,774.96,18553.3,1095.81,,7307.45,9559.5,18491.99,1136.65,819.52,4436.39,18728.25,1233.43,1397.18,412.23,497.36,40795.56,6294.59,396.54,8281.21,1294.7,1014.48,6681.08,1663.76,753.82,3302.84,9202.07,821.87
30,21/11/2013,5288.3,2629.51,2846.68,777.51,18363.38,1084.86,,7340.75,9599.3,18594.05,1141.83,824.58,4431.68,18841.85,1246.31,1387.35,410.93,494.03,40998.37,6322.6,395.33,8268.69,1290.5,1012.45,6681.33,1648.09,746.79,3291.75,9196.08,828.59
31,22/11/2013,5335.9,2635.32,2840.66,777.49,18425.46,1084.15,,7347.79,9677.4,18565.69,1168.9,825.17,4441.96,18822.31,1248.57,1395.28,411.57,495.51,41199.02,6350.31,395.8,8250.43,1297.87,1018.87,6674.3,1642.5,756.38,3308.96,9219.04,832.72
32,25/11/2013,5352.8,2647.37,2859.59,777.31,18336.47,1070.72,,7371.28,9689.1,18602.17,1197.79,825.08,4464.97,18784.3,1259.61,1401.89,413.24,495.2,40948.36,6359.63,397.46,8304.05,1306.13,1020.78,6694.62,1633.78,765.31,3328.02,9299.95,830.74
33,26/11/2013,5357.0,2646.05,2855.65,769.42,18125.02,1062.05,,7337.48,9714.6,18342.1,1151.66,829.42,4459.94,18774.27,1253.02,1392.64,412.57,493.7,41002.68,6355.12,394.11,8238.92,1305.78,1013.07,6636.22,1630.94,755.63,3312.59,9290.07,829.28
34,27/11/2013,5332.9,2656.62,2869.83,770.34,18306.92,1056.3,,7374.11,9808.4,18508.07,1175.82,835.36,4484.66,18924.79,1247.08,1396.76,412.23,497.37,41872.59,6475.67,396.22,8245.68,1310.13,1026.05,6649.47,1648.79,748.96,3324.12,9351.13,830.75
35,28/11/2013,5334.3,2652.65,2866.61,770.71,18433.9,1061.68,,7380.15,9859.8,18546.47,1180.77,841.52,4511.09,19099.36,1261.04,1403.12,412.62,499.01,42160.42,6507.0,396.75,8257.61,1315.21,1027.2,6654.47,1664.62,745.8,3331.72,9387.37,830.75
36,29/11/2013,5320.1,2645.67,2870.89,771.86,18599.86,1064.11,,7331.81,9837.6,18809.76,1195.68,845.1,4509.92,19021.48,1258.66,1406.01,413.2,498.25,42499.13,6537.77,396.55,8264.2,1307.71,1032.26,6650.57,1661.41,757.48,3328.26,9405.3,828.91
37,02/12/2013,5279.5,2630.38,2858.11,774.37,18489.5,1055.95,,7307.0,9745.5,18790.7,1228.23,842.31,4502.6,18732.56,1258.94,1409.35,411.3,497.95,42138.55,6539.31,395.99,8257.32,1304.58,1021.46,6595.33,1678.87,749.51,3320.41,9401.96,827.02
38,03/12/2013,5256.1,2580.08,2804.98,767.53,18347.63,1055.09,,7124.95,9605.0,18632.25,1220.98,840.96,4405.98,18366.75,1262.54,1387.78,409.75,493.24,41876.86,6498.16,390.57,8109.89,1281.32,1009.62,6532.43,1681.51,730.87,3239.08,9223.4,824.32
39,04/12/2013,5273.8,2540.62,2788.82,765.81,18296.9,1024.52,,7102.55,9540.5,18699.08,1211.77,845.03,4375.52,18312.96,1240.99,1380.5,407.07,489.44,42003.65,6418.21,388.14,8045.54,1279.03,998.06,6509.97,1699.18,730.89,3222.86,9140.63,823.0
40,05/12/2013,5198.0,2510.9,2766.19,758.95,18340.22,1043.77,,7082.82,9392.1,18529.34,1190.31,842.65,4349.52,17993.12,1229.65,1380.02,407.03,488.87,41910.08,6364.4,383.71,8025.59,1269.51,982.89,6498.33,1692.38,719.92,3190.06,9084.95,817.16
41,06/12/2013,5186.0,2509.56,2790.24,764.05,18235.75,1044.13,,,9400.5,18464.46,1177.34,860.06,4388.37,18124.39,1235.83,1383.09,407.08,487.54,41925.54,6353.83,387.01,8066.07,1274.63,975.32,6551.99,1675.25,733.78,3212.42,9172.41,827.1
42,09/12/2013,5144.4,2527.42,2799.73,766.47,18271.4,1057.82,,7146.26,9487.4,18244.96,1182.93,869.82,4407.48,18285.52,1255.32,1380.31,407.54,490.24,42289.23,6428.5,387.38,8056.33,1283.35,972.47,6559.48,1669.87,742.33,3217.17,9195.17,829.15
43,10/12/2013,5143.6,2533.59,2790.61,766.07,18280.52,1063.75,,7094.96,9438.3,18236.5,1200.67,878.36,4410.79,18236.72,1256.33,1385.66,407.8,489.86,42490.1,6473.65,385.56,7971.84,1270.2,971.79,6523.31,1670.55,741.18,3186.79,9114.44,826.2
44,11/12/2013,5104.3,2507.28,2778.16,754.0,18248.28,1065.38,,7075.57,9358.7,18433.59,1196.98,875.71,4380.13,17973.96,1250.45,1386.4,407.48,486.43,42304.55,6461.59,383.15,7956.32,1268.05,977.97,6507.72,1639.18,739.66,3184.58,9077.11,815.76
45,12/12/2013,5062.5,2484.8,2764.3,753.17,18141.49,1074.28,,6994.59,9272.1,18281.35,1186.93,861.31,4337.52,17804.87,1242.23,1356.71,408.15,481.93,,6378.58,377.82,7849.62,1255.0,966.43,6445.25,1631.91,730.72,3169.57,9017.0,813.5
46,13/12/2013,5098.4,2462.16,2751.81,752.92,18071.65,1070.55,,6961.59,9272.7,18424.72,1156.74,861.68,4335.6,17805.73,1238.88,1367.82,409.52,484.27,41884.83,6349.0,376.86,7828.91,1255.71,955.78,6439.96,1626.41,740.65,3162.11,9006.46,813.47
47,16/12/2013,5089.6,2471.19,2784.17,757.02,18179.95,1046.01,,6999.46,9429.5,18781.01,1146.88,861.99,4376.84,18222.42,1222.95,1361.62,409.03,487.52,42054.02,6396.13,381.44,7856.27,1269.08,966.26,6522.2,1602.46,748.43,3204.65,9163.56,818.68
48,17/12/2013,5103.2,2447.48,2761.91,756.18,18082.4,1051.37,,6972.56,9343.4,18617.52,1146.69,858.23,4409.58,17925.21,1232.31,1370.28,405.75,487.62,41758.55,6381.48,378.17,7830.98,1263.26,962.28,6486.19,1597.27,709.46,3166.6,9085.12,815.56
49,18/12/2013,5096.1,2479.59,2794.69,766.43,18066.81,1032.71,,7031.42,9443.6,18611.55,1146.26,855.84,4388.84,18131.49,1250.49,1376.82,407.83,484.46,42079.87,6400.29,381.17,7881.26,1275.12,974.17,6492.08,1598.68,714.17,3196.38,9181.75,829.21
50,19/12/2013,5202.2,2484.52,2839.36,770.21,18110.79,1037.86,,7139.54,9664.3,18630.57,1155.53,856.44,4463.17,18453.99,1263.07,1391.7,408.11,487.97,42198.32,6446.43,387.83,8028.27,1300.89,975.41,6584.7,1580.11,691.0,3246.32,9335.74,828.53
51,20/12/2013,5265.2,2500.75,2869.67,770.58,18198.87,1056.51,,7205.99,9689.9,18459.33,1123.86,853.64,4492.9,18565.61,1261.64,1409.17,408.94,493.02,42183.77,6516.14,391.56,8081.35,1309.92,977.78,6606.58,1537.41,695.73,3259.04,9400.18,832.12
52,23/12/2013,5291.9,2529.26,2887.58,773.99,18121.52,1041.65,,7252.13,9758.4,18334.09,1112.08,852.45,4490.32,18697.15,,1406.7,410.59,499.52,42508.03,6610.75,395.52,8107.1,1320.56,982.96,6678.61,1541.27,680.86,3276.08,9488.82,835.91
53,24/12/2013,5327.2,,2899.42,777.96,18121.88,1050.39,,,9819.5,,,,4474.29,,1257.55,1419.66,,,42585.66,6616.62,396.61,,,,6694.17,1539.6,689.98,3279.61,9488.82,838.87
54,25/12/2013,,,,,,1050.39,,,,,,,,,1258.18,,,,,,,,,,,1547.36,660.97,3279.61,9488.82,838.87
55,26/12/2013,,,,,18035.22,1042.57,,,,,,,,,1279.34,,,,42540.32,,,,,,,1524.88,645.55,3279.61,9488.82,843.02
56,27/12/2013,5324.1,2550.43,2921.05,782.71,18205.99,1043.97,,7359.81,9900.1,,1165.24,856.25,4548.9,18956.52,1290.07,1440.35,415.2,504.83,42753.22,6644.32,400.99,8221.9,1334.42,986.91,6750.87,1550.22,638.85,3322.08,9589.39,844.02
57,30/12/2013,5356.8,2546.54,2915.33,781.68,18227.05,1042.61,,7336.98,9901.9,18564.08,1158.03,864.93,4512.18,18967.71,1302.29,1450.88,421.6,503.58,42958.82,6553.6,399.77,8202.98,1332.95,989.04,6731.27,1547.92,679.86,3322.77,9552.16,843.63
58,31/12/2013,5352.2,,2923.82,783.75,,1038.32,,,9916.7,,1162.68,,4539.43,,,1448.94,,,42727.09,6558.85,401.79,,,,6749.09,1574.78,678.02,3337.34,9552.16,846.6
59,01/01/2014,,,,,,1038.32,,,,,,,,,,,,,,,,,,,,,,3337.34,9552.16,846.6
60,02/01/2014,5367.9,2533.77,2880.45,782.05,18213.39,1039.75,,7301.98,9760.3,18552.4,1204.96,878.21,4554.85,18929.63,,1439.01,434.05,501.97,42188.45,6621.54,399.82,,1324.35,993.85,6717.91,1561.1,669.86,3290.5,9400.04,839.12
61,03/01/2014,5350.1,2553.38,2903.99,778.75,18233.22,1030.61,,7350.44,9798.0,18626.19,1205.51,885.08,4585.25,19112.65,,1446.48,436.68,502.32,42064.97,6768.9,401.97,8270.46,1325.12,993.33,6730.67,1536.07,659.67,3306.69,9435.15,840.16
62,06/01/2014,5324.9,,2892.96,773.95,18211.75,1030.46,,,9888.5,18572.77,,885.7,4595.59,19233.74,1292.15,1454.69,436.72,501.18,41525.95,6790.95,399.85,8272.23,,989.59,6730.73,1512.93,680.22,3292.01,9428.0,838.79
63,07/01/2014,5317.0,2630.09,2911.57,780.11,18132.02,1018.55,,7339.33,10178.7,18618.66,1238.06,882.5,4682.16,19468.75,1283.25,1470.17,436.18,501.6,41778.6,6957.74,402.97,8319.4,1326.24,988.15,6755.45,1510.65,685.99,3318.26,9506.2,842.69
64,08/01/2014,5316.0,2669.31,2932.73,782.09,18204.11,1011.48,,7338.5,10253.6,18681.5,1279.41,880.76,4702.57,19436.3,1306.23,1476.78,437.9,504.27,41515.49,7055.27,403.86,8352.82,1324.83,996.34,6721.78,1515.33,673.32,3319.86,9497.84,840.95
65,09/01/2014,5324.4,2673.26,2928.72,784.01,18028.1,1009.3,,7377.91,10234.2,18986.3,1289.98,879.72,4745.44,19503.0,1296.75,1461.12,437.06,507.82,41585.54,7076.92,401.97,8295.9,1323.58,998.94,6691.34,1503.88,664.14,3293.12,9421.61,841.88
66,10/01/2014,5312.4,2678.04,2934.89,791.21,17926.38,1000.25,,7420.68,10290.6,19101.72,1296.39,882.23,4735.01,19569.0,1298.48,1453.14,438.85,510.65,42458.51,7093.4,403.95,8365.12,1329.84,1009.36,6739.94,1498.27,679.12,3310.23,9473.24,843.08
67,13/01/2014,5292.1,2692.27,2944.48,787.47,17907.77,999.82,,7449.11,10365.5,19420.16,1286.47,875.57,4791.76,19697.25,,1465.09,440.64,512.2,42158.62,7142.73,404.93,8412.89,1328.65,1027.87,6757.15,1494.61,680.62,3323.23,9510.17,833.55
68,14/01/2014,5212.0,2686.0,2940.79,787.99,17890.8,999.55,,7407.88,10382.0,19430.29,1260.7,875.4,4783.04,19730.38,1269.08,1464.18,440.39,510.46,42439.79,7065.15,406.57,8384.65,1323.89,1022.99,6766.86,1499.29,680.73,3330.01,9540.51,840.3
